Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-04-01 00:00:01;1859-05-01 00:00:00;1859-04;4.4;Y
1859-05-01 00:00:01;1859-06-01 00:00:00;1859-05;11.7;Y
1859-06-01 00:00:01;1859-07-01 00:00:00;1859-06;15.7;Y
1859-07-01 00:00:01;1859-08-01 00:00:00;1859-07;17.2;Y
1859-08-01 00:00:01;1859-09-01 00:00:00;1859-08;17.5;Y
1859-09-01 00:00:01;1859-10-01 00:00:00;1859-09;12.6;Y
1859-10-01 00:00:01;1859-11-01 00:00:00;1859-10;8.2;Y
1859-11-01 00:00:01;1859-12-01 00:00:00;1859-11;3.5;Y
1859-12-01 00:00:01;1860-01-01 00:00:00;1859-12;-2.4;Y
1860-01-01 00:00:01;1860-02-01 00:00:00;1860-01;0.5;Y
1860-02-01 00:00:01;1860-03-01 00:00:00;1860-02;-3.6;Y
1860-03-01 00:00:01;1860-04-01 00:00:00;1860-03;-0.6;Y
1860-04-01 00:00:01;1860-05-01 00:00:00;1860-04;4.8;Y
1860-05-01 00:00:01;1860-06-01 00:00:00;1860-05;10.1;Y
1860-06-01 00:00:01;1860-07-01 00:00:00;1860-06;14.3;Y
1860-07-01 00:00:01;1860-08-01 00:00:00;1860-07;16.3;Y
1860-08-01 00:00:01;1860-09-01 00:00:00;1860-08;14.3;Y
1860-09-01 00:00:01;1860-10-01 00:00:00;1860-09;12.1;Y
1860-10-01 00:00:01;1860-11-01 00:00:00;1860-10;6.8;Y
1860-11-01 00:00:01;1860-12-01 00:00:00;1860-11;1.8;Y
1860-12-01 00:00:01;1861-01-01 00:00:00;1860-12;-2.4;Y
1861-01-01 00:00:01;1861-02-01 00:00:00;1861-01;-4.4;Y
1861-02-01 00:00:01;1861-03-01 00:00:00;1861-02;0.5;Y
1861-03-01 00:00:01;1861-04-01 00:00:00;1861-03;2.8;Y
1861-04-01 00:00:01;1861-05-01 00:00:00;1861-04;4.2;Y
1861-05-01 00:00:01;1861-06-01 00:00:00;1861-05;8.0;Y
1861-06-01 00:00:01;1861-07-01 00:00:00;1861-06;15.7;Y
1861-07-01 00:00:01;1861-08-01 00:00:00;1861-07;17.5;Y
1861-08-01 00:00:01;1861-09-01 00:00:00;1861-08;16.0;Y
1861-09-01 00:00:01;1861-10-01 00:00:00;1861-09;11.6;Y
1861-10-01 00:00:01;1861-11-01 00:00:00;1861-10;9.1;Y
1861-11-01 00:00:01;1861-12-01 00:00:00;1861-11;3.7;Y
1861-12-01 00:00:01;1862-01-01 00:00:00;1861-12;1.8;Y
1862-01-01 00:00:01;1862-02-01 00:00:00;1862-01;-2.6;Y
1862-02-01 00:00:01;1862-03-01 00:00:00;1862-02;-2.9;Y
1862-03-01 00:00:01;1862-04-01 00:00:00;1862-03;-0.3;Y
1862-04-01 00:00:01;1862-05-01 00:00:00;1862-04;5.0;Y
1862-05-01 00:00:01;1862-06-01 00:00:00;1862-05;11.9;Y
1862-06-01 00:00:01;1862-07-01 00:00:00;1862-06;13.6;Y
1862-07-01 00:00:01;1862-08-01 00:00:00;1862-07;14.0;Y
1862-08-01 00:00:01;1862-09-01 00:00:00;1862-08;15.0;Y
1862-09-01 00:00:01;1862-10-01 00:00:00;1862-09;12.7;Y
1862-10-01 00:00:01;1862-11-01 00:00:00;1862-10;8.9;Y
1862-11-01 00:00:01;1862-12-01 00:00:00;1862-11;3.0;Y
1862-12-01 00:00:01;1863-01-01 00:00:00;1862-12;-0.0;Y
1863-01-01 00:00:01;1863-02-01 00:00:00;1863-01;2.7;Y
1863-02-01 00:00:01;1863-03-01 00:00:00;1863-02;2.6;Y
1863-03-01 00:00:01;1863-04-01 00:00:00;1863-03;2.2;Y
1863-04-01 00:00:01;1863-05-01 00:00:00;1863-04;6.5;Y
1863-05-01 00:00:01;1863-06-01 00:00:00;1863-05;10.3;Y
1863-06-01 00:00:01;1863-07-01 00:00:00;1863-06;15.1;Y
1863-07-01 00:00:01;1863-08-01 00:00:00;1863-07;14.2;Y
1863-08-01 00:00:01;1863-09-01 00:00:00;1863-08;16.2;Y
1863-09-01 00:00:01;1863-10-01 00:00:00;1863-09;12.6;Y
1863-10-01 00:00:01;1863-11-01 00:00:00;1863-10;10.6;Y
1863-11-01 00:00:01;1863-12-01 00:00:00;1863-11;5.5;Y
1863-12-01 00:00:01;1864-01-01 00:00:00;1863-12;2.2;Y
1864-01-01 00:00:01;1864-02-01 00:00:00;1864-01;-2.2;Y
1864-02-01 00:00:01;1864-03-01 00:00:00;1864-02;-0.3;Y
1864-03-01 00:00:01;1864-04-01 00:00:00;1864-03;1.8;Y
