Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-11-01 00:00:00;2023-05-31 23:59:59;41.05;57.6678;18.3516

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1970-06-01 00:00:01;1970-07-01 00:00:00;1970-06;15.2;Y
1970-07-01 00:00:01;1970-08-01 00:00:00;1970-07;15.5;Y
1970-08-01 00:00:01;1970-09-01 00:00:00;1970-08;15.7;Y
1970-09-01 00:00:01;1970-10-01 00:00:00;1970-09;12.2;Y
1970-10-01 00:00:01;1970-11-01 00:00:00;1970-10;7.6;Y
1970-11-01 00:00:01;1970-12-01 00:00:00;1970-11;2.8;Y
1970-12-01 00:00:01;1971-01-01 00:00:00;1970-12;1.1;Y
1971-01-01 00:00:01;1971-02-01 00:00:00;1971-01;0.6;Y
1971-02-01 00:00:01;1971-03-01 00:00:00;1971-02;-0.2;Y
1971-03-01 00:00:01;1971-04-01 00:00:00;1971-03;-1.5;Y
1971-04-01 00:00:01;1971-05-01 00:00:00;1971-04;3.5;Y
1971-05-01 00:00:01;1971-06-01 00:00:00;1971-05;10.9;Y
1971-06-01 00:00:01;1971-07-01 00:00:00;1971-06;13.1;Y
1971-07-01 00:00:01;1971-08-01 00:00:00;1971-07;16.8;Y
1971-08-01 00:00:01;1971-09-01 00:00:00;1971-08;16.5;Y
1971-09-01 00:00:01;1971-10-01 00:00:00;1971-09;11.3;Y
1971-10-01 00:00:01;1971-11-01 00:00:00;1971-10;8.5;Y
1971-11-01 00:00:01;1971-12-01 00:00:00;1971-11;3.0;Y
1971-12-01 00:00:01;1972-01-01 00:00:00;1971-12;2.6;Y
1972-01-01 00:00:01;1972-02-01 00:00:00;1972-01;-3.0;Y
