Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1773-06-01 07:00:01;1773-07-01 07:00:00;1773-06;74.0;Y
1773-07-01 07:00:01;1773-08-01 07:00:00;1773-07;42.0;Y
1773-08-01 07:00:01;1773-09-01 07:00:00;1773-08;22.0;Y
1773-09-01 07:00:01;1773-10-01 07:00:00;1773-09;92.0;Y
1773-10-01 07:00:01;1773-11-01 07:00:00;1773-10;50.0;Y
1773-11-01 07:00:01;1773-12-01 07:00:00;1773-11;38.0;Y
1773-12-01 07:00:01;1774-01-01 07:00:00;1773-12;28.0;Y
1774-01-01 07:00:01;1774-02-01 07:00:00;1774-01;25.0;Y
1774-02-01 07:00:01;1774-03-01 07:00:00;1774-02;48.0;Y
1774-03-01 07:00:01;1774-04-01 07:00:00;1774-03;29.0;Y
1774-04-01 07:00:01;1774-05-01 07:00:00;1774-04;35.0;Y
1774-05-01 07:00:01;1774-06-01 07:00:00;1774-05;36.0;Y
1774-06-01 07:00:01;1774-07-01 07:00:00;1774-06;61.0;Y
1774-07-01 07:00:01;1774-08-01 07:00:00;1774-07;86.0;Y
1774-08-01 07:00:01;1774-09-01 07:00:00;1774-08;78.0;Y
1774-09-01 07:00:01;1774-10-01 07:00:00;1774-09;85.0;Y
1774-10-01 07:00:01;1774-11-01 07:00:00;1774-10;27.0;Y
1774-11-01 07:00:01;1774-12-01 07:00:00;1774-11;19.0;Y
1774-12-01 07:00:01;1775-01-01 07:00:00;1774-12;37.0;Y
1775-01-01 07:00:01;1775-02-01 07:00:00;1775-01;64.0;Y
1775-02-01 07:00:01;1775-03-01 07:00:00;1775-02;74.0;Y
1775-03-01 07:00:01;1775-04-01 07:00:00;1775-03;39.0;Y
1775-04-01 07:00:01;1775-05-01 07:00:00;1775-04;12.0;Y
1775-05-01 07:00:01;1775-06-01 07:00:00;1775-05;37.0;Y
1775-06-01 07:00:01;1775-07-01 07:00:00;1775-06;25.0;Y
1775-07-01 07:00:01;1775-08-01 07:00:00;1775-07;48.0;Y
1775-08-01 07:00:01;1775-09-01 07:00:00;1775-08;60.0;Y
1775-09-01 07:00:01;1775-10-01 07:00:00;1775-09;35.0;Y
1775-10-01 07:00:01;1775-11-01 07:00:00;1775-10;108.0;Y
1775-11-01 07:00:01;1775-12-01 07:00:00;1775-11;44.0;Y
1775-12-01 07:00:01;1776-01-01 07:00:00;1775-12;34.0;Y
1776-01-01 07:00:01;1776-02-01 07:00:00;1776-01;4.0;Y
1776-02-01 07:00:01;1776-03-01 07:00:00;1776-02;49.0;Y
1776-03-01 07:00:01;1776-04-01 07:00:00;1776-03;24.0;Y
1776-04-01 07:00:01;1776-05-01 07:00:00;1776-04;25.0;Y
1776-05-01 07:00:01;1776-06-01 07:00:00;1776-05;59.0;Y
1776-06-01 07:00:01;1776-07-01 07:00:00;1776-06;48.0;Y
1776-07-01 07:00:01;1776-08-01 07:00:00;1776-07;69.0;Y
1776-08-01 07:00:01;1776-09-01 07:00:00;1776-08;56.0;Y
1776-09-01 07:00:01;1776-10-01 07:00:00;1776-09;12.0;Y
1776-10-01 07:00:01;1776-11-01 07:00:00;1776-10;34.0;Y
1776-11-01 07:00:01;1776-12-01 07:00:00;1776-11;46.0;Y
1776-12-01 07:00:01;1777-01-01 07:00:00;1776-12;26.0;Y
1777-01-01 07:00:01;1777-02-01 07:00:00;1777-01;21.0;Y
1777-02-01 07:00:01;1777-03-01 07:00:00;1777-02;20.0;Y
1777-03-01 07:00:01;1777-04-01 07:00:00;1777-03;32.0;Y
1777-04-01 07:00:01;1777-05-01 07:00:00;1777-04;24.0;Y
1777-05-01 07:00:01;1777-06-01 07:00:00;1777-05;64.0;Y
1777-06-01 07:00:01;1777-07-01 07:00:00;1777-06;49.0;Y
